idx,x_m,y_m
0,-1.3750,-1.3750
1,-1.3750,-1.3250
2,-1.3750,-1.2750
3,-1.3750,-1.2250
4,-1.3750,-1.1750
5,-1.3750,-1.1250
6,-1.3750,-1.0750
7,-1.3750,-1.0250
8,-1.3750,-0.9750
9,-1.3750,-0.9250
10,-1.3750,-0.8750
11,-1.3750,-0.8250
12,-1.3250,-0.7750
13,-1.3250,-0.7250
14,-1.3250,-0.6750
15,-1.3250,-0.6250
16,-1.3250,-0.5750
17,-1.3250,-0.5250
18,-1.3250,-0.4750
19,-1.3250,-0.4250
20,-1.3250,-0.3750
21,-1.3250,-0.3250
22,-1.3250,-0.2750
23,-1.3250,-0.2250
24,-1.3250,-0.1750
25,-1.3250,-0.1250
26,-1.3250,-0.0750
27,-1.3250,-0.0250
28,-1.3250,0.0250
29,-1.3250,0.0750
30,-1.3250,0.1250
31,-1.3250,0.1750
32,-1.3250,0.2250
33,-1.3250,0.2750
34,-1.3250,0.3250
35,-1.2750,0.3750
36,-1.2250,0.4250
37,-1.2250,0.4750
38,-1.1750,0.5250
39,-1.1250,0.5750
40,-1.0750,0.6250
41,-1.0250,0.6750
42,-0.9750,0.7250
43,-0.9250,0.7750
44,-0.8750,0.8250
45,-0.8250,0.8750
46,-0.7750,0.9250
47,-0.7250,0.9750
48,-0.6750,0.9750
49,-0.6250,1.0250
50,-0.5750,1.0750
51,-0.5250,1.0750
52,-0.4750,1.0750
53,-0.4250,1.0750
54,-0.3750,1.0750
55,-0.3250,1.0750
56,-0.2750,1.0750
57,-0.2250,1.0750
58,-0.1750,1.0750
59,-0.1250,1.0750
60,-0.0750,1.0750
61,-0.0250,1.0750
62,0.0250,1.1250
63,0.0750,1.1750
64,0.1250,1.2250
65,0.1750,1.2750
66,0.1750,1.3250
67,0.2250,1.3250
68,0.2750,1.3250
69,0.3250,1.3250
70,0.3750,1.3250
71,0.4250,1.3250
72,0.4750,1.3250
73,0.5250,1.3250
74,0.5750,1.3250
75,0.6250,1.3250
76,0.6750,1.3250
77,0.7250,1.3250
78,0.7750,1.3250
79,0.8250,1.3250
80,0.8750,1.3250
81,0.9250,1.3250
82,0.9750,1.3250
83,1.0250,1.3250
84,1.0750,1.3250
85,1.1250,1.3250
86,1.1750,1.3250
87,1.2250,1.3250
88,1.2750,1.3250
89,1.3250,1.3250
90,1.3750,1.3750
